source,target,weight
Isabella Castillo,Alan Estrada,1
Isabella Castillo,Cecilia Toussaint,1
Isabella Castillo,Susana Zabaleta,1
Isabella Castillo,Jesús Ochoa,1
Isabella Castillo,Shane West,1
Isabella Castillo,James Levya,1
Isabella Castillo,Alejandra Ley,1
Isabella Castillo,Lorena Narcio,1
Alan Estrada,Cecilia Toussaint,1
Alan Estrada,Susana Zabaleta,1
Alan Estrada,Jesús Ochoa,1
Alan Estrada,Shane West,1
Alan Estrada,James Levya,1
Alan Estrada,Alejandra Ley,1
Alan Estrada,Lorena Narcio,1
Cecilia Toussaint,Susana Zabaleta,1
Cecilia Toussaint,Jesús Ochoa,1
Cecilia Toussaint,Shane West,1
Cecilia Toussaint,James Levya,1
Cecilia Toussaint,Alejandra Ley,1
Cecilia Toussaint,Lorena Narcio,1
Susana Zabaleta,Jesús Ochoa,1
Susana Zabaleta,Shane West,1
Susana Zabaleta,James Levya,1
Susana Zabaleta,Alejandra Ley,1
Susana Zabaleta,Lorena Narcio,1
Jesús Ochoa,Shane West,1
Jesús Ochoa,James Levya,1
Jesús Ochoa,Alejandra Ley,1
Jesús Ochoa,Lorena Narcio,1
Shane West,James Levya,1
Shane West,Alejandra Ley,1
Shane West,Lorena Narcio,1
James Levya,Alejandra Ley,1
James Levya,Lorena Narcio,1
Alejandra Ley,Lorena Narcio,1
Leonardo DiCaprio,Jesse Plemons,1
Leonardo DiCaprio,Lily Gladstone,1
Leonardo DiCaprio,Robert De Niro,1
Leonardo DiCaprio,Tantoo Cardinal,1
Leonardo DiCaprio,Cara Jade Myers,1
Leonardo DiCaprio,JaNae Collins,1
Leonardo DiCaprio,Jillian Dion,1
Leonardo DiCaprio,William Belleau,1
Jesse Plemons,Lily Gladstone,1
Jesse Plemons,Robert De Niro,1
Jesse Plemons,Tantoo Cardinal,1
Jesse Plemons,Cara Jade Myers,1
Jesse Plemons,JaNae Collins,1
Jesse Plemons,Jillian Dion,1
Jesse Plemons,William Belleau,1
