names,date_x,score,genre,overview,crew,orig_title,status,orig_lang,budget_x,revenue,country
"La Usurpadora, the Musical",12/31/2023,90,"Music, Comedy, Drama","Two identical twin sisters, separated at birth, one truly decent but humble, the other ultra rich, conniving, and truly destructive. They soon find themselves hopelessly intertwined in each other's lives.","Isabella Castillo, Valeria / Victoria, Alan Estrada, Carlos Daniel, Cecilia Toussaint, Abuelita, Susana Zabaleta, Doña Inés, Jesús Ochoa, Don Ramiro, Shane West, Chad, James Levya, Lydia, Alejandra Ley, Lupita, Lorena Narcio, Isabel"," La Usurpadora, El Musical", Released," Spanish, Castilian",254000000,1656280462,MX
Killers of the Flower Moon,10/6/2023,0,"Crime, Drama, Thriller","When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one—until the FBI steps in to unravel the mystery.","Leonardo DiCaprio, Ernest Burkhart, Jesse Plemons, Tom White, Lily Gladstone, Mollie Burkhart, Robert De Niro, William Hale, Tantoo Cardinal, Lizzie Q. Kyle, Cara Jade Myers, Anna, JaNae Collins, Rita Smith, Jillian Dion, Minnie, William Belleau, Henry Roan",Killers of the Flower Moon, Post Production, English,200000000,1240261.6,US
PAW Patrol: The Mighty Movie,9/29/2023,0,"Animation, Family, Comedy","A magical meteor crash lands in Adventure City, giving the PAW Patrol pups superpowers and transforming them into The Mighty Pups!","Taraji P. Henson, , Kristen Bell, , Christian Convery, , Mckenna Grace, , Lil Rel Howery, , James Marsden, , Finn Lee-Epp, Ryder (voice), Serena Williams, , Ricky Guillart, ",PAW Patrol: The Mighty Movie, In Production, English,203940000,178359863,US
The Expendables 4,9/22/2023,0,"Action, Adventure, Thriller, War",The Expendables will square up against: an arms dealer who commands the might of a massive private army.,"Jason Statham, Lee Christmas, Dolph Lundgren, Gunner Jensen, 50 Cent, , Sylvester Stallone, Barney Ross, Megan Fox, , Randy Couture, Toll Road, Tony Jaa, Decha, Iko Uwais, , Levy Tran, ",The Expendables 4, Post Production, English,213940000,178359863,US
The Nun 2,9/8/2023,0,"Horror, Mystery","1956, France. A priest is murdered, an evil is spreading, and Sister Irene once again comes face to face with the malevolent force of Valak, the demon nun.","Taissa Farmiga, Sister Irene, Bonnie Aarons, The Nun / Valak, Storm Reid, , Jonas Bloquet, Maurice Theriault, Anna Popplewell, Marcella, Katelyn Rose Downey, Sophie",The Nun 2, In Production, English,246000000,175269998.8,US
The Equalizer 3,9/1/2023,0,"Action, Thriller, Crime",Third film in The Equalizer franchise.,"Denzel Washington, Robert McCall, Dakota Fanning, , Gaia Scodellaro, , David Denman, , Eugenio Mastrandrea, , Remo Girone, , Sonia Ammar, , Daniele Perrone, , Andrea Scarduzio, ",The Equalizer 3, In Production, English,205000000,175269998.8,US
Blue Beetle,8/18/2023,0,"fantasy, Action, Adventure",Jaime Reyes acquires a mysterious scarab that binds to his spine and provides him with a powerful suit of blue alien armor.,"Xolo Mariduena, Jaime Reyes / Blue Beetle, Susan Sarandon, Victoria Kord, Bruna Marquezine, Penny, Damián Alcázar, Alberto Reyes, Belissa Escobedo, Milagros Reyes, George Lopez, Uncle Rudy Reyes, Harvey Guillén, , Adriana Barraza, Nana Reyes, Elpidia Carrillo, Rocio Reyes",Blue Beetle, In Production, English,70000000,1240261.6,US
Meg 2: The Trench,8/4/2023,0,"Science Fiction, Action, Horror, Thriller",We don't have an overview translated in English. Help us expand our database by adding one.,"Jason Statham, Jonas Taylor, Shuya Sophia Cai, Meiying, Cliff Curtis, James 'Mac' Mackreides, Page Kennedy, DJ, Sienna Guillory, , Skyler Samuels, , Wu Jing, , Sergio Peris-Mencheta, Mencheta, Melissanthi Mahut, ",Meg 2: The Trench, Post Production, English,231940000,178359863,US
Teenage Mutant Ninja Turtles: Mutant Mayhem,8/4/2023,0,"Comedy, Animation, Family, Action, Adventure","After years of being sheltered from the human world, the Turtle brothers set out to win the hearts of New Yorkers and be accepted as normal teenagers through heroic acts. Their new friend April O'Neil helps them take on a notorious crime syndicate, but they soon get in over their heads when an army of mutants is unleashed upon them.","Nicolas Cantu, Leonardo (voice), Shamon Brown Jr., Michelangelo (voice), Micah Abbey, Donatello (voice), Brady Noon, Raphael (voice), Jackie Chan, Splinter (voice), Ayo Edebiri, April O'Neil (voice), Ice Cube, Superfly (voice), Seth Rogen, Bebop (voice), John Cena, Rocksteady (voice)",Teenage Mutant Ninja Turtles: Mutant Mayhem, In Production, English,211940000,178359863,US
Robe of Gems,8/3/2023,0,Drama,"Isabel and her family take possession of her mother’s villa in rural Mexico where they reconnect with their long-time domestic worker Maria. But things have never been the same since Isabel’s mother left. Once so well looked after, the house is now bare and neglected. Isabel and her husband are growing apart, and their children are increasingly worried about them. Maria’s sister’s disappearance has left her family in distress and forced her to engage in criminal activities with Adan, the son of a local policeman. Isabel decides to go on a dangerous quest, neglecting her own children, as well as her housekeeper’s warning that she does not understand how things work in Mexico’s poorer regions.","Aida Roa, , Antonia Olivares, , Nailea Norvind, Isabel, Francisco Berdiales, , Reina Carmona, , Yaretzi Cazares, , Yadira Cleto, , Montserrat Colsá, Juana, Juan Daniel Garcia Treviño, Adán", Manto de gemas, Released," Spanish, Castilian",174600000,175269998.8,SK
Barbie,7/21/2023,0,Comedy,To live in Barbie Land is to be a perfect being in a perfect place. Unless you have a full-on existential crisis. Or you're a Ken.,"Margot Robbie, Barbie, Ryan Gosling, Ken, America Ferrera, , Will Ferrell, Mattel CEO, Ariana Greenblatt, , Helen Mirren, Narrator, Issa Rae, President Barbie, Alexandra Shipp, Celebrated Author Barbie, Emma Mackey, Nobel Prize Winning Physicist Barbie",Barbie, Post Production, English,175000000,178359863,US
